,title,combined_text,bottom_label,top_label
73,universal credit and you,universal credit and you this document gives an introduction to universal credit for people who are claiming it. this guide explains: your responsibilities while claiming universal credit sanctions you could face if you do not meet your responsibilities how when and where universal credit is paid how you can be better off in work help to become self employed help with childcare costs help with housing costs universal credit and you html universal credit and you pdf 1.05mb 24 pages credyd cynhwysol a chi html credyd cynhwysol a chi pdf 503kb 24 pages,-1,-2
50,housing costs and universal credit,housing costs and universal credit universal credit can include help with housing costs - paying your landlord what to do if you cannot pay your rent other help you can get what you can get you can get help paying for your housing if you’re eligible for universal credit . this is called your housing payment. this guide is also available in welsh (cymraeg) . your housing payment can help you pay: your rent to a private landlord your rent and some service charges if you rent from a housing association or local authority for example council housing interest payments on your mortgage and some service charges if you or your partner own the property you live in once you’ve started claiming you need to report any changes in your circumstances . if you do not your benefits may stop. if you’re in temporary or supported housing you cannot get universal credit to pay for temporary emergency supported or sheltered housing. apply for housing benefit through your council instead. other help with housing costs you can apply for help with financial difficulties from your main universal credit payment. you might also be able to get council tax reduction . your benefits might go down if you get more than the benefit cap amount . if you become homeless while you’re getting universal credit you must report this in your online account . your work coach can give you a break (called an ‘easement’) from your claimant commitment responsibilities so you have time to look for accommodation. you can still claim universal credit. if you live in scotland you can get the housing payment either: paid to you paid straight to your landlord you can choose whether the payment is made once or twice a month. if you’re making a new claim you’ll get a notification about this after your first payment. if you’re already getting universal credit and have not had a notification you can ask your work coach. payment dates in scotland you can choose to be paid once or twice a month. when you’re paid twice a month your first payment will be for a full month. you’ll get the first half of your second month’s payment a month after this. the second half will be paid 15 days later. this means there will be about a month and a half between your first payment and the full amount for your second month. after this you’ll be paid twice a month. example you get your first payment on 14 december. this payment is for a full month. if you’re paid twice a month you get half of your second payment on 14 january and the other half on 29 january. you get paid on the 14th and 29th of each month after that. renting from a private landlord if you’re eligible for universal credit you can get help to cover your rent and some service charges. you get the payment and you have to pay it to your landlord. you can apply for help with financial difficulties from your main universal credit payment. you might also be able to get council tax reduction . if your household includes someone who is 21 or older your payment will not be reduced if you’re any of the following: getting the care component of disability living allowance (dla) at the middle or highest rate getting the daily living component of personal independence payment (pip) getting attendance allowance getting armed forces independence payment registered as blind it also will not be reduced if the person aged 21 or older is any of the following: getting pension credit getting the care component of disability living allowance (dla) at the middle or highest rate getting the daily living component of personal independence payment (pip) getting attendance allowance getting armed forces independence payment getting carer’s allowance responsible for a child under 5 a member of the armed forces away on operations and is your child or step-child your sub-tenant lodger or boarder a prisoner if you’re under 35 and you do not live with a partner if you do not live with a partner the most you can get is the rent for a single room in a shared house in your area. this is called the local housing allowance shared accommodation rate ( sar ). you can use the local housing allowance tool to find out the rate in your area. select ‘shared accommodation’ for the bedroom number. you can get more than the sar if any of the following apply: you’re disabled you have a child under 18 you live with someone who’s dependent on you you’re a care leaver and under 22 you’ve lived in a hostel for homeless people for at least 3 months in total and you’re aged 25 to 34 if your home has more than one bedroom there’s a maximum amount you can get for your housing under universal credit. you can work out how many bedrooms you’re eligible for . this amount is based on where you live your household size income and circumstances. if you pay rent on 2 homes your universal credit housing payment can cover rent on 2 homes at the same time if either of the following apply: a family member moved out because of fear of violence or abuse is paying rent somewhere else and intends to come back you’ve started renting a new home with a disabled family member but it has not been adapted to their needs yet if you’re behind on your rent if you’re behind on your rent you could have your housing payment sent directly to your landlord. this is called an alternative payment arrangement ( apa ). you can apply for an apa through your work coach. your landlord can also make the application . you could apply for an advance or hardship payment from your main universal credit payment. if your housing payment does not cover all your rent you can apply for extra help from your local council - called a ‘discretionary housing payment’. contact your council to apply. renting from the local authority or housing association if you’re eligible for universal credit you can get help paying your rent and some service charges. you get the payment and you have to pay it to your landlord. you can also get help with your bills from your main universal credit payment if you live in a shared ownership property you can get help paying the rent and mortgage interest . you might also be able to get a council tax reduction . paying service charges universal credit can help you pay for service charges including: using shared facilities such as rubbish collection or communal lifts using essential items in your home such as domestic appliances window cleaning of upper floors if your household includes someone who is 21 or older your housing payment will usually be reduced if you live with someone who is aged 21 or older and not your partner. your payment will not be reduced if you’re any of the following: getting the care component of disability living allowance ( dla ) at the middle or highest rate getting the daily living component of personal independence payment ( pip ) getting attendance allowance getting armed forces independence payment registered as blind it also will not be reduced if the person aged 21 or older is any of the following: getting pension credit getting the care component of disability living allowance ( dla ) at the middle or highest rate getting the daily living component of personal independence payment ( pip ) getting attendance allowance getting armed forces independence payment getting carer’s allowance responsible for a child under 5 a member of the armed forces away on operations and is your child or step-child your sub-tenant lodger or boarder a prisoner if you pay rent on 2 homes you can get a housing payment if you’re paying rent on 2 homes for any of the following reasons: the housing authority has housed your family in 2 properties because your family is large a family member moved out because of fear of violence or abuse is paying rent somewhere else and intends to come back you’ve started renting a new home with a disabled family member but it has not been adapted to their needs yet if you have more rooms than your household needs your universal credit housing payment can be reduced if you have more rooms than you need. this is called ‘removal of the spare room subsidy’. your payment will be reduced: by 14% if you have 1 spare bedroom by 25% if you have 2 or more spare bedrooms how to claim your landlord will be sent a housing costs verification ( hcv ) form. once they’ve completed it and sent it back it will be checked against your claim and uploaded to your online account. if you’re behind on your rent if you’re behind on your rent you could have your housing payment sent directly to your landlord. this is called an alternative payment arrangement ( apa ). you can apply for an apa through your work coach or case manager. your landlord can also apply . living in a property you own if you or your partner own the home you live in and you’re eligible for universal credit you could get a universal credit payment. this includes if you live in a shared ownership property. you need to have been on benefits for 39 weeks without any breaks. the payment could help pay any of the following: the cost of buying your property home insurance repairs and maintenance it can also help you pay for service charges including: using shared facilities such as rubbish collection or communal lifts window cleaning of upper floors living in a shared ownership property you can get help paying the rent and mortgage interest on a shared ownership property. you get the payment and you have to pay it to your housing association and mortgage company. if your property is leasehold you can also get help with some service charges . support for mortgage interest ( smi ) you might also be able to get support for mortgage interest ( smi ) if you have been on benefits for 39 weeks without any breaks. smi is a loan that can help towards interest payments on: your mortgage loans you’ve taken out for certain repairs and improvements to your home if you qualify for an smi loan you can get help paying the interest on up to £200 000 of your loan or mortgage. the amount you get is based on a set rate of interest on what’s left of your mortgage. it’s paid direct to your lender. you’ll need to repay your smi loan back with interest when you sell or transfer ownership of your home. how to claim if you already get universal credit apply for housing payments in your online account . if you’re new to universal credit apply for universal credit . you can get help to apply for universal credit . you’ll need an email address and be able to verify your identity online. if you do not have a permanent address you can use the address of: a hostel where you are staying a family member or friend you can use your local jobcentre plus address if you do not have any other address you can use. if you do not have a bank account you can use the bank account details of a trusted friend or family member to get your payments. you can also open a post office card account or use the payment exception service . after you’ve applied depending on your circumstances you might have to attend an interview at your local jobcentre plus. this will usually be within 7 days. you’ll be told if you need to make an appointment and what documents to take with you. you might be asked to bring evidence for example: a current tenancy agreement rent statement or rent book a signed letter from your landlord (saying that you live there pay rent and are living there legally) details of service charges you’re responsible for a current mortgage agreement mortgage statement or bank statement showing mortgage payments details of any loan agreements secured on your property you’ll be assigned a work coach at the interview. tell your work coach about any issues that affect you for example if you’re homeless or have an addiction or mental health problem. you might get extra help and support. if you’ve moved from housing benefit your housing benefit will continue for 2 weeks after your universal credit claim is approved. if you’re applying for universal credit because you’ve moved to a universal credit area the 2 extra weeks of housing benefit will be paid directly to you. you’ll need to pay rent to your new landlord. when your universal credit claim is approved you’ll be asked if you want the housing payment to be paid straight to your landlord. your landlord will be notified if you choose this. you do not need to tell your local authority that you’re moving to universal credit. you can apply for an advance if you need to cover your costs while you wait. after you’ve made a claim you’ll get an estimated payment date in your online account within 3 weeks of making a claim. you can ask questions about your claim in your online journal.,-1,-2
22,apply for universal credit,apply for universal credit apply for universal credit - a monthly payment to help with your living costs if you’re on a low income or out of work. you can apply for universal credit online. before you apply check if you’re eligible and what you can get if you live: in england scotland and wales in northern ireland this service is also available in welsh (cymraeg) . you might also need to book and attend an interview at your local jobcentre plus. you’ll be told if you need to after you apply. you’ll get your first payment around 5 weeks after applying online if your application is successful. when you apply you can ask for an advance if you need help sooner. call the helpline to get help making your claim online. universal credit helpline telephone: 0800 328 5644 welsh language: 0800 328 1744 textphone: 0800 328 1344 monday to friday 8am to 6pm find out about call charges the universal credit service,-1,-2
28,universal credit and other benefits,universal credit and other benefits provides information on the extra support you may be able to get if you receive universal credit. this guide provides links to information on the extra support you may be able to get if you receive universal credit including: healthcare costs free school meals legal aid and court fees grants and payments if you are disabled or pregnant part of the universal credit toolkit for partner organisations . universal credit and other benefits html credyd cynhwysol a budd-daliadau eraill html,-1,-2
97,thousands more households boost work hours and earnings,thousands more households boost work hours and earnings latest statistics show 140 000 housing benefit households and 9 900 universal credit households are no longer subject to the benefit cap welfare reform shows success with record employment and more than 55 000 households moving off the benefit cap and into work. families across the uk are experiencing the wider benefits of moving into and progressing in work. new figures released today (7 february 2019) by the department for work and pensions show that thousands more benefits households are working more boosting their earnings and are no longer subject to a benefit cap as a result. other figures out this month show that uk employment is now at a record high. according to today’s statistics more than 55 000 households have either moved off the cap from housing benefit or universal credit by being exempt due to starting a job or increasing their hours or earnings. introduced in 2013 the benefit cap incentivises work including part time opportunities as anyone eligible who moves into work and earns over a certain amount becomes exempt from the cap. the policy also aims to transform families’ futures by showcasing the wider benefits of employment to younger generations. those with working parents are more likely to achieve higher levels of educational attainment and move into work in adulthood. the latest figures show that at least 190 000 more children are living in a household that moved into work and off the benefit cap. and this follows separate figures last quarter which reported the number of children living in workless households had fallen by more than 30% since 2010. justin tomlinson minister for family support housing and child maintenance said: it’s really encouraging that the number of people moving off the cap and into work continues to increase in the uk . our changes to the welfare system have been instrumental in encouraging people to move into employment and improve their lives while providing the right support for those who need it. we know that children in working families perform better at school and families moving off the benefit cap are not only reaping the rewards of progressing in work but are inspiring the next generation to fulfil their potential. regionally the south east has the highest percentage of households under housing benefit moving off the benefit cap and into employment (43%). the new statistics follow the news that the uk employment rate has increased to a new record high of 75.8% making a difference to homes across the country as wages grow at their fastest rate in almost a decade. more information under the benefit cap anyone eligible who moves into work and then earns enough for working tax credit (or the equivalent under universal credit) becomes exempt. the estimate of the number of children in households that were capped but went into work is for households that had their housing benefit capped only. it is calculated by multiplying the number of children in these households by the number of households . households with more than 5 children are grouped together so for this calculation we have assumed that there are 6 children in these households. there are 140 000 housing benefit households that are no longer subject to the benefit cap with 55 000 of these becoming exempt from the cap due to starting work or increasing their hours. 9 900 universal credit households are no longer subject to the cap with more than 2 400 now exempt due to increased earnings through employment since october 2016 . the percentage of households under housing benefit moving off the benefit cap and into employment is calculated by taking the number of households with an open working tax credit claim as a percentage of the total off flows for each region. these figures are available in table 4 of the published ods tables . contact press office media enquiries for this press release – 020 3267 5144 press office caxton house tothill street london sw1h 9na london press office (national media and london area enquiries only – not questions about personal claims) 020 3267 5144 out of hours (journalists only) 07623 928 975 england and wales (local media enquiries) 029 20 586 then 097 or 098 or 099 scotland (local media enquiries) 0131 310 1122 follow dwp on: twitter facebook linkedin youtube,-1,-2
15,universal credit and prison leavers,universal credit and prison leavers information for prison leavers work coaches and probation officers about universal credit. the above ‘print and fold: prison leavers guide to universal credit’ document can be printed out and folded into a handy guide. after opening this document: press ctrl p or command p to access your print menu the document should automatically reduce to fit the paper size you have selected to print (if not then make sure 100% is selected for a3 or 71% is selected for a4) it should automatically print off double sided (if not then select the doubled sided and flip on the short edge options) prison leavers: an overview of universal credit html supporting prison leavers: a guide to universal credit html supporting prison leavers: a guide to universal credit pdf 1.23mb 20 pages this file may not be suitable for users of assistive technology. request an accessible format. if you use assistive technology (such as a screen reader) and need a version of this document in a more accessible format please email accessible.formats@dwp.gov.uk . please tell us what format you need. it will help us if you say what assistive technology you use. print and fold: prison leavers and universal credit pdf 144kb 2 pages this file may not be suitable for users of assistive technology. request an accessible format. if you use assistive technology (such as a screen reader) and need a version of this document in a more accessible format please email accessible.formats@dwp.gov.uk . please tell us what format you need. it will help us if you say what assistive technology you use.,-1,-2
14,fraud and error deterrence and prevention message testing,fraud and error deterrence and prevention message testing this research aimed to inform the design of communications to discourage benefit fraud and other non-compliant claimant behaviour. this qualitative research with universal credit and pension credit claimants tested new messages and message themes to inform the design of communications products aiming to discourage: benefit fraud other forms of non compliant claimant behaviour the department for work and pensions commissioned solutions strategy research facilitation ltd to conduct exploratory research with claimants who had shown that they might need better support and information to help them understand the benefit rules and the consequences of getting things wrong. the fieldwork was carried out between june and august 2018 in accordance with the market research society regulations and government social research code of practice. research value the research identified several ways in which the department could improve how it engages and communicates with claimants to: improve the quality of service it delivers encourage better compliance with the benefit rules the findings are informing the design of important communications aimed at universal credit and pension credit claimants. authors: philip wilson and michelle lloyd. related content fraud and error in the benefit system reporting changes in circumstances: factors affecting the behaviours of benefit claimants reporting changes in circumstances: tackling error in the benefit system factors affecting compliance with rules: understanding the behaviour and motivations behind customer fraud summary: fraud and error deterrence/prevention message testing html fraud and error deterrence/prevention message testing ref: isbn 978-1-5286-0999-9 rr975 pdf 750kb 82 pages this file may not be suitable for users of assistive technology. request an accessible format. if you use assistive technology (such as a screen reader) and need a version of this document in a more accessible format please email accessible.formats@dwp.gov.uk . please tell us what format you need. it will help us if you say what assistive technology you use.,-1,-2
84,how to claim universal credit: step by step,how to claim universal credit: step by step find out if you're eligible for universal credit and how to claim. ,-1,-2
89,april tax changes 2019: changes for you,april tax changes 2019: changes for you when the new tax year starts in april changes in the tax system will put more money in your pocket and help you keep more of your wages. here’s information about how you might benefit. tax changes which come into effect in april will mean 32 million people in the uk see their income tax bill cut compared to 2015 16. this summary lets you know where you can find more information about each of the tax changes. the national living wage is going up to £8.21 an hour if you are aged 25 and over and not in your first year of an apprenticeship you are legally entitled to at least the national living wage. those under 25 and apprentices also benefit from rises in the minimum wage. the national living wage and national minimum wage rates apply across the uk. make sure you are being paid the right amount. the personal allowance is going up to £12 500 you don’t have to pay income tax on the income you earn below this amount. as a result of the change a typical basic rate taxpayer will take home £130 more than in 2018 19. check how much income tax you should pay over the year. fuel duty will remain frozen for the ninth year in a row it will remain at 57.95 pence per litre across the uk. fuel duty has been frozen for the ninth successive year saving the average car driver £1 000. find out more about tax on fuel. small retailers will get business rates relief small retailers will get one third off their business rates bills this is part of more than £13 billion of rates relief since 2016. find out about business rates relief. the universal credit work allowance is increasing by an extra £1 000 per year. from april working parents and disabled people will be able to earn an extra £1 000 a year before their universal credit starts to reduce. this change will see 2.4 million families keep up to an extra £630 per year of what they earn. learn more about the universal credit work allowance increase. new enterprise allowance has been extended the new enterprise allowance provides mentoring support and funding for benefit claimants to get their business ideas off the ground. over 120 000 businesses have been launched though the nea since 2011 and from april funding will continue for another 2 years with 30 000 new mentoring places available. find out how nea can help you start your own business. access to work is increasing by an extra £2 000 per year from 1 april 2019 people will be able to claim up to £59 200 annually through the access to work scheme to help pay for additional support that they may need in the workplace. this can include workplace adaptations assistive technology transport and interpreters. find out how access to work can benefit you.,-1,-2
11,universal credit and childcare,universal credit and childcare this guide explains more about universal credit and childcare. if you or both you and your partner are working you may be able to get support with the childcare costs you pay to a registered or approved childcare provider. childcare costs can only be claimed for a dependent child up to the 31 august following the child’s 16th birthday. universal credit: childcare guide html credyd cynhwysol: canllaw gofal plant html,-1,-2
